gene_name	transcript_id	se_id	SElet_id	reads_novo_ser	nb_pmt_novo
Zfp57	ENSMUST00000089968	7794	758	31.5740886950531	1
Zfp57	ENSMUST00000089968	7794	763	14.0329283089125	1
Usp7	ENSMUST00000090399	7359	664	111.272436153667	0
BC028528	ENSMUST00000090476	1626	1022	0.866025403784439	1
BC028528	ENSMUST00000090476	1626	1028	0.866025403784439	1
BC028528	ENSMUST00000090476	1626	1030	2.59807621135332	1
Rprd2	ENSMUST00000090791	1626	1027	0.866025403784439	1
Rprd2	ENSMUST00000090791	1626	1028	7.79422863405995	1
Rprd2	ENSMUST00000090791	1626	1030	4.33012701892219	1
Zbtb34	ENSMUST00000091037	817	920	196.363122624118	0
Polr3gl	ENSMUST00000091924	1629	1033	375.895120451883	1
Polr3gl	ENSMUST00000091924	1630	1037	17.5411603861406	1
Cabin1	ENSMUST00000092412	5091	218	5.19615242270663	1
Cabin1	ENSMUST00000092412	5091	221	13.856406460551	1
Cabin1	ENSMUST00000092412	5091	224	3.46410161513775	1
Dna2	ENSMUST00000092462	5044	192	6.13940613514921	1
Dna2	ENSMUST00000092462	5044	196	14.0329283089125	1
Dna2	ENSMUST00000092462	5044	198	20.1723344440617	1
Dna2	ENSMUST00000092462	5044	202	28.0658566178249	1
P4ha1	ENSMUST00000092512	5021	183	7.79422863405995	1
P4ha1	ENSMUST00000092512	5021	184	6.92820323027551	1
P4ha1	ENSMUST00000092512	5021	186	1.73205080756888	1
P4ha1	ENSMUST00000092512	5021	188	0.866025403784439	1
Msi2	ENSMUST00000092794	5666	327	8.77058019307029	1
Msi2	ENSMUST00000092794	5666	332	28.0658566178249	1
Msi2	ENSMUST00000092794	5666	334	18.4182184054476	1
Tlcd1	ENSMUST00000092879	5597	316	10.3923048454133	2
Tlcd1	ENSMUST00000092879	5597	320	29.4448637286709	2
Tlcd1	ENSMUST00000092879	5597	322	31.1769145362398	2
Tlcd1	ENSMUST00000092880	5597	316	10.3923048454133	2
Tlcd1	ENSMUST00000092880	5597	320	29.4448637286709	2
Tlcd1	ENSMUST00000092880	5597	322	31.1769145362398	2
Npm1	ENSMUST00000093201	5427	258	1.73205080756888	1
Npm1	ENSMUST00000093201	5427	261	6.92820323027551	1
Npm1	ENSMUST00000093201	5427	264	5.19615242270663	1
Npm1	ENSMUST00000093201	5427	265	6.92820323027551	1
Npm1	ENSMUST00000093201	5427	267	3.46410161513775	1
Cobl	ENSMUST00000093316	5340	252	437.609244705177	1
Cobl	ENSMUST00000093316	5340	255	445.089744614667	1
Cobl	ENSMUST00000093316	5340	256	362.804245610275	1
Grb10	ENSMUST00000093321	5340	252	23.3826859021798	1
Grb10	ENSMUST00000093321	5340	255	12.1243556529821	1
Grb10	ENSMUST00000093321	5340	256	13.856406460551	1
Mir363	ENSMUST00000093598	8629	1574	51.4284368777452	1
Mir363	ENSMUST00000093598	8629	1575	44.8829994569413	1
Mir363	ENSMUST00000093598	8629	1576	42.0778119908824	1
Birc5	ENSMUST00000093906	5831	371	29.4448637286709	1
Birc5	ENSMUST00000093906	5831	373	3.46410161513775	1
